txn_id,timestamp,customer_id,account_id,amount,currency,country_src,country_dst,channel,kyc_verified,pep_flag
T1,2025-10-01T10:00:00Z,C123,A1,9850,USD,SG,SG,wire,true,false
T2,2025-10-01T10:10:00Z,C123,A1,9900,USD,SG,SG,wire,true,false
T3,2025-10-01T10:20:00Z,C123,A1,9950,USD,SG,SG,wire,true,false
T4,2025-10-01T12:00:00Z,C777,A2,15000,USD,SG,HK,wire,true,false
T5,2025-10-01T13:00:00Z,C999,A3,9000,USD,SG,IR,cash,false,true
T6,2025-10-01T14:30:00Z,C456,A4,2500,EUR,SG,DE,online,true,false
T7,2025-10-01T15:45:00Z,C789,A5,45000,USD,SG,US,wire,true,false
T8,2025-10-01T16:20:00Z,C234,A6,9800,USD,SG,SG,atm,true,false
T9,2025-10-01T17:00:00Z,C234,A6,9850,USD,SG,SG,atm,true,false
T10,2025-10-01T17:30:00Z,C234,A6,9900,USD,SG,SG,atm,true,false
T11,2025-10-02T08:15:00Z,C345,A7,125000,USD,SG,CH,wire,true,true
T12,2025-10-02T09:00:00Z,C567,A8,3200,GBP,SG,GB,online,true,false
T13,2025-10-02T10:30:00Z,C890,A9,8500,USD,SG,MY,wire,true,false
T14,2025-10-02T11:45:00Z,C111,A10,9950,USD,SG,TH,cash,false,false
T15,2025-10-02T12:00:00Z,C999,A3,8800,USD,SG,IR,cash,false,true
T16,2025-10-02T13:30:00Z,C222,A11,15000,SGD,SG,SG,online,true,false
T17,2025-10-02T14:15:00Z,C333,A12,72000,USD,SG,KY,wire,true,false
T18,2025-10-02T15:00:00Z,C444,A13,9700,USD,SG,SG,wire,true,false
T19,2025-10-02T15:10:00Z,C444,A13,9800,USD,SG,SG,wire,true,false
T20,2025-10-02T15:20:00Z,C444,A13,9900,USD,SG,SG,wire,true,false
T21,2025-10-02T16:45:00Z,C555,A14,5000,EUR,SG,FR,online,true,false
T22,2025-10-02T17:30:00Z,C666,A15,28000,USD,SG,VN,wire,false,false
T23,2025-10-03T08:00:00Z,C777,A2,18000,USD,SG,HK,wire,true,false
T24,2025-10-03T09:30:00Z,C888,A16,95000,USD,SG,PA,wire,true,false
T25,2025-10-03T10:15:00Z,C123,A1,9950,USD,SG,SG,wire,true,false
T26,2025-10-03T11:00:00Z,C234,A6,9950,USD,SG,SG,atm,true,false
T27,2025-10-03T12:30:00Z,C999,A3,9200,USD,SG,SY,cash,false,true
T28,2025-10-03T13:45:00Z,C321,A17,7500,AUD,SG,AU,online,true,false
T29,2025-10-03T14:00:00Z,C654,A18,9600,USD,SG,ID,wire,true,false
T30,2025-10-03T15:30:00Z,C987,A19,150000,USD,SG,BS,wire,true,true
T31,2025-10-03T16:00:00Z,C147,A20,4200,CAD,SG,CA,online,true,false
T32,2025-10-03T17:15:00Z,C258,A21,9850,USD,SG,SG,cash,false,false
T33,2025-10-04T08:30:00Z,C369,A22,11000,USD,SG,JP,wire,true,false
T34,2025-10-04T09:45:00Z,C444,A13,9950,USD,SG,SG,wire,true,false
T35,2025-10-04T10:00:00Z,C480,A23,65000,USD,SG,AE,wire,true,false
T36,2025-10-04T11:30:00Z,C591,A24,9900,USD,SG,PH,cash,false,false
T37,2025-10-04T12:15:00Z,C702,A25,8900,USD,SG,SG,online,true,false
T38,2025-10-04T13:00:00Z,C813,A26,32000,USD,SG,RU,wire,true,true
T39,2025-10-04T14:30:00Z,C924,A27,9750,USD,SG,SG,wire,true,false
T40,2025-10-04T14:40:00Z,C924,A27,9850,USD,SG,SG,wire,true,false
T41,2025-10-04T14:50:00Z,C924,A27,9950,USD,SG,SG,wire,true,false
T42,2025-10-04T15:45:00Z,C135,A28,18500,EUR,SG,IT,online,true,false
T43,2025-10-04T16:30:00Z,C246,A29,9400,USD,SG,LK,cash,false,false
T44,2025-10-04T17:00:00Z,C999,A3,9100,USD,SG,KP,cash,false,true
T45,2025-10-05T08:00:00Z,C357,A30,22000,USD,SG,NZ,wire,true,false
T46,2025-10-05T09:15:00Z,C468,A31,9850,USD,SG,SG,atm,true,false
T47,2025-10-05T10:30:00Z,C579,A32,105000,USD,SG,BVI,wire,true,false
T48,2025-10-05T11:45:00Z,C680,A33,6800,GBP,SG,GB,online,true,false
T49,2025-10-05T12:00:00Z,C123,A1,9900,USD,SG,SG,wire,true,false
T50,2025-10-05T13:30:00Z,C791,A34,9950,USD,SG,BD,cash,false,false